"team_name","totalpayroll","minimumsalary","maxsalary","firstquantile","median","thirdquantile","average","interquartilerange","standardev"
"ATL",70990101,525093,1.9e+07,1419240,3101666.5,7436619.75,5070721.5,6017379.75,5266975.52116877
"BOS",57535767,61776,1.2e+07,1787100,2616975,5500000,3835717.8,3712900,3175806.90590909
"BRK",53314648,161622,2e+07,998360.5,1362900,2512675,3554309.86666667,1514314.5,5365229.22930087
"CHI",85385898,525090,20093063,1203290.5,2380440,7974380,5692393.2,6771089.5,6127832.50783157
"CHO",77529865,301444,13833333,1642892,4204200,6665702,5168657.66666667,5022810,4449416.60857836
"CLE",105789548,8819,22971000,1499000,4975000,12945652.5,7556396.28571429,11446652.5,7507520.04324643
"DAL",69488052,525093,16400000,1315473,3975156.5,5425000,4963432.28571429,4109527,5136343.82925421
"DEN",50397467,123552,1.4e+07,1521260.25,2328000,3275559.75,3599819.07142857,1754299.5,4034848.63691597
"DET",67168286,99418,1.6e+07,1711452.5,2891760,5635000,4477885.73333333,3923547.5,4686346.7192344
"GSW",87275947,458575,15500000,1201462,3815000,11540621,5818396.46666667,10339159,5494525.29667133
"HOU",76597917,83583,22359364,1182040,1967302.5,6923257.5,4787369.8125,5741217.5,6274579.22359665
"IND",64421030,845000,17120106,1358880,4e+06,6500000,4955463.84615385,5141120,4664001.2729625
"LAC",94573938,317232,21468696,1100600,3100000,8033500,6304929.2,6932900,7532162.24869879
"LAL",72230125,525093,2.5e+07,913203.5,1724250,5161144.5,4815341.66666667,4247941,6804634.88454589
"MEM",81361298,55722,19700000,934154.25,3815295.5,5417134.75,4520072.11111111,4482980.5,4983774.80111961
"MIA",85381879,525093,22192730,1356000,2481720,10151612,6567836.84615385,8795612,7686781.13628329
"MIL",69128026,57726,16400000,1460520,2254167,5514330,4320501.625,4053810,4956302.77039103
"MIN",60224230,247623,12365000,1480626.75,2102640,5744910,4301730.71428571,4264283.25,4059477.57144544
"NOP",79828374,44000,15514031,1148643.5,3018463.5,9023876.75,4989273.375,7875233.25,4949536.55464419
"NYK",74884044,105888,22875000,1464253,2800000,6151406,4992269.6,4687153,6043919.22228983
"OKC",94622660,352750,20158622,1742280,3344000,8744215,6308177.33333333,7001935,6616957.25356614
"ORL",60323249,161776,11250000,1791322.5,3741480,5096260,4021549.93333333,3304937.5,3143689.50774644
"PHI",32145784,305789,6500000,933130.25,1075301,2817360,2009111.5,1884229.75,1693736.52904537
"PHO",62385522,111444,13086957,1008000,2041080,5500000,4159034.8,4492000,4738316.29834762
"POR",47662121,525093,7500000,1181398,2854940,4618143.5,3177474.73333333,3436745.5,2326868.47341162
"SAC",70847101,525093,14728844,998384.5,3156600,6916666.5,4723140.06666667,5918282,4508271.40189204
"SAS",85195793,525093,19500000,1499046.75,3196473.5,9250000,6085413.78571429,7750953.25,6319117.69681725
"TOR",71455710,650000,13500000,1683000,3e+06,6634337.5,4763714,4951337.5,4073570.54765116
"UTA",59834470,105888,15409570,995337,2244900,3443750,3739654.375,2448413,4487454.84689585
"WAS",77829998,561716,15851950,2117616.25,4125000,7423668.5,5559285.57142857,5306052.25,4730385.34999185
